empresa;cargo;localizacao;modalidade;contrato;pcd;data
Vagas, empregos, oportunidades;Cientista de Dados - Vaga Afirmativa para Mulheres;Joinville - SC;Remoto;Efetivo;Também p/ PcD;11/08/2023
Neogrid Carreiras;Estagiário Governança de Dados;São Paulo - SP;Remoto;Estágio;Também p/ PcD;11/08/2023
Sumicity;Analista de dados Pleno;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;11/08/2023
KOVI ❤️;Analista de Operações Pleno (dados) - zona sul de São Paulo/SP;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2023
NAVA | Technology for Business;Pessoa Engenheira de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2023
Página de Carreiras da Netbr;Analista Sênior de Segurança da Informação, Proteção de dados e Suporte Interno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2023
Datum TI;Pessoa Engenheira de Dados Sênior;Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;11/08/2023
Looqbox;Analista de Dados Pleno (Python Developer - Remoto);São Paulo - SP;Remoto;Pessoa Jurídica;Também p/ PcD;11/08/2023
Trademaster;Product Owner Sênior - Dados (Híbrido);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2023
The Bridge Vagas;Engenheiro de Dados Sr - Florianópolis, SC - Modelo Híbrido;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;10/08/2023
Vagas Peers;Data Engineer (Engenheiro de Dados);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;10/08/2023
Lojas Renner;Pessoa Engenheira de Dados;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;10/08/2023
Grupo SEB;Analista de Privacidade de Dados;Ribeirão P... - SP;Presencial;Efetivo;Também p/ PcD;10/08/2023
Stefanini Group;MODELAGEM DE DADOS - AD ;Brasilia - DF;Remoto;Efetivo;Também p/ PcD;10/08/2023
Votorantim Cimentos - Futuros Talentos ;Estagiária/ Estagiário em Dados;Curitiba - PR;Presencial;Estágio;Também p/ PcD;10/08/2023
AllowMe;Cientista de dados;Recife - PE;Remoto;Efetivo;Não informado;10/08/2023
Aliare;Estágio Suporte - Banco de Dados e Serviços;Rio Verde - GO;Presencial;Estágio;Também p/ PcD;10/08/2023
YDUQS;PESSOA ANALISTA DE OPERAÇÕES PLENO (MODELAGEM DE DADOS);Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;10/08/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS SR - (SGBD PostgreSQL);Brasília - DF;Presencial;Efetivo;Também p/ PcD;10/08/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS SR - (SGBD MS SQL Server);Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;10/08/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS PL - (MS SQL Server);Brasília - DF;Presencial;Efetivo;Também p/ PcD;10/08/2023
Credifoz;Analista de Produtos e Negócios II Foco em Análise de Dados | Itajaí ;Itajaí - SC;Presencial;Efetivo;Também p/ PcD;10/08/2023
JDC Tech;Administrador de Banco de Dados Oracle;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;09/08/2023
JDC Tech;Engenheiro de Dados ;Não informado;Remoto;Efetivo;Também p/ PcD;09/08/2023
Poliedro Educação;Analista de Dados Sênior;São José d... - SP;Remoto;Efetivo;Também p/ PcD;09/08/2023
Cogna Educação;ANALISTA DE DADOS SR - AFIRMATIVA PARA PESSOAS NEGRAS;São Paulo - SP;Presencial;Efetivo;Não informado;09/08/2023
Porto;Analista de Inteligência de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Não informado;09/08/2023
MTP Métodos e Tecnologia – Brasil;553 - Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Não informado;09/08/2023
Confidencial;Engenheiro de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;09/08/2023
Minsait an Indra Company;Pessoa Engenheira de Dados Sênior   ;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;09/08/2023
Kangu;Analista de Dados PL;Osasco - SP;Presencial;Efetivo;Também p/ PcD;09/08/2023
GAVB ;Pessoa Engenheira de dados - [Especialista I - Tec];Não informado;Remoto;Efetivo;Não informado;09/08/2023
